id_agence,nom_agence,adresse,ville,code_postal,telephone
1,Agence_1,"chemin de Moulin
28242 Saint Jeannenec",Saint Éric,27338,+33 (0)3 55 86 37 94
2,Agence_2,"55, rue Ledoux
43204 Sainte Étienneboeuf",Texier,33926,+33 (0)6 34 81 61 84
3,Agence_3,"11, rue de Leleu
37181 Roussel",Lopesdan,81954,0310553419
4,Agence_4,"82, chemin Lucie Lagarde
71324 Lecoq",Saint Valentine,05924,0547413953
5,Agence_5,"52, rue Vallet
71651 Letellier",Gilbert-sur-Guillon,51470,+33 2 62 87 10 12
6,Agence_6,"29, avenue Jeannine Bigot
67357 DuboisBourg",Hamel-la-Forêt,97392,0247462704
7,Agence_7,"5, boulevard de Raynaud
25256 Ledoux",Gimenez,97477,+33 (0)4 74 70 15 43
8,Agence_8,"811, boulevard Gosselin
17231 Dias-les-Bains",Evrard,77533,+33 3 56 46 57 87
9,Agence_9,"61, boulevard Lenoir
29702 Robert",Saint MichelBourg,05980,0219834738
10,Agence_10,"497, avenue Laurent Gauthier
13774 Monniernec",BigotVille,86769,+33 (0)1 82 65 13 33
